longitude,latitude
-114.03174344390786,36.194355243988966
-114.0009120960675,36.195116442154024
-113.99883368797097,36.188033841872986
-113.99319343053176,36.19111184289594
-113.99667947802396,36.17955663245885
-113.97792227895941,36.175419039779925
-113.97118409182248,36.16297277120665
-113.9788970115303,36.16237156019394
-113.97843788117143,36.15277316878034
-113.96602727889665,36.15412763470883
-113.98275028110741,36.15139323008921
-113.97500607358727,36.14078696812297
-113.98323161021546,36.14089382617175
-113.97995988772367,36.12481483235092
-113.9608074023357,36.13439863584142
-113.93293721092985,36.13310495643832
-113.92340167235929,36.11324397095672
-113.9225232661691,36.09860923095751
-113.89667065845354,36.09284942963389
-113.88860665430028,36.066262226345295
-113.8479264454579,36.0505309548009
-113.80981803360744,36.049306833725495
-113.79520736193724,36.03010082396912
-113.78478202645243,36.02861635843038
-113.7816803760969,36.02440323162427
-113.77946776722807,35.99467315538366
-113.78433662489718,36.02638643469205
-113.79672224291367,36.02821735072732
-113.8101291698773,36.04775263903743
-113.84588323445941,36.048894958194744
-113.8697857901721,36.05366315294462
-113.89349540073341,36.06925676132966
-113.89822066160957,36.09165261963004
-113.92225999133477,36.09354615721499
-113.93322846988156,36.13103475896098
-113.96980826570878,36.12843302840989
-113.96102561060844,36.11866015918465
-113.97197679860423,36.119238756135545
-113.97116768260365,36.11233115405758
-113.98125268651985,36.11454023046107
-113.97576821260607,36.12146683633648
-113.9821460826407,36.125139833360585
-113.99649242229417,36.1132697605325
-113.99743061651891,36.12658856970929
-113.98682728211095,36.131694625707766
-113.99474308614948,36.13534275432257
-113.99083628214628,36.153685159166365
-113.99714942057007,36.15703723060175
-113.98691127712496,36.16732144043695
-114.0071448241164,36.16807022218913
-114.00516068318404,36.19368555976008
-114.03408833376405,36.176042640585116
-114.03082767422816,36.18234022541486
-114.03739646453529,36.18648797040512
-114.05053389739373,36.173261823356846
-114.04538168674911,36.19100882551577
-114.05767750149164,36.188072564102484
-114.07159049209343,36.170764155258226
-114.06844103441016,36.163603423387805
-114.06920608380214,36.15964969091104
-114.07217944465819,36.16698055542454
-114.07905124882792,36.15464622841972
-114.07353931314478,36.153504590479216
-114.09155869358818,36.137225231955526
-114.0880058386201,36.1186404106687
-114.11251204339766,36.11490574127907
-114.09754604398498,36.10958875847642
-114.09338763889673,36.0988538089341
-114.10183856244069,36.09742401206262
-114.10397103251397,36.06969121214174
-114.11457402562682,36.06444314881989
-114.1124806296807,36.05856794230032
-114.11855556805492,36.06081153966861
-114.12882883472012,36.03856414194017
-114.12250417134341,36.012653613032924
-114.13564623769909,36.025936746190716
-114.14964836147108,36.02392120855693
-114.14979657615328,36.01113654500158
-114.15184657871625,36.021577002734006
-114.16547577307512,36.019070739231836
-114.16512915772256,36.02549059883668
-114.17497917163608,36.02605221027195
-114.21324637831694,36.00948719783702
-114.22260304599698,36.01354353736554
-114.23336437298373,36.00113359009965
-114.23854018709822,36.009600130598365
-114.2495000375383,35.995239322835346
-114.24611018219794,36.00873459677445
-114.25500386017903,36.004034319469625
-114.25402457423202,36.01204672384124
-114.26745659679104,36.023102591766765
-114.28233460137758,36.01222199360522
-114.27774518739827,36.02579172979053
-114.2928204688786,36.03251212180924
-114.28806438530874,36.04057372491707
-114.30870365413757,36.032277796907834
