x_scaled,y_scaled
0.1556,0.2715
0.1598,0.2689
0.1640,0.2663
0.1683,0.2637
0.1726,0.2612
0.1769,0.2587
0.1813,0.2563
0.1858,0.2539
0.1902,0.2515
0.1947,0.2492
0.1993,0.2469
0.2038,0.2447
0.2084,0.2425
0.2131,0.2404
0.2178,0.2383
0.2225,0.2362
0.2272,0.2342
0.2320,0.2323
0.2368,0.2304
0.2417,0.2285
0.2465,0.2267
0.2514,0.2249
0.2564,0.2232
0.2613,0.2215
0.2663,0.2199
0.2713,0.2183
0.2764,0.2168
0.2814,0.2153
0.2865,0.2139
0.2916,0.2125
0.2967,0.2112
0.3019,0.2099
0.3071,0.2087
0.3123,0.2075
0.3175,0.2064
0.3227,0.2053
0.3279,0.2043
0.3332,0.2033
0.3385,0.2024
0.3438,0.2015
0.3491,0.2007
0.3544,0.1999
0.3597,0.1992
0.3651,0.1985
0.3704,0.1979
0.3758,0.1973
0.3811,0.1968
0.3865,0.1964
0.3919,0.1960
0.3973,0.1956
0.4027,0.1953
0.4081,0.1951
0.4135,0.1949
0.4189,0.1947
0.4243,0.1946
0.4297,0.1946
0.4352,0.1946
0.4406,0.1947
0.4460,0.1948
0.4514,0.1950
0.4568,0.1952
0.4622,0.1955
0.4676,0.1958
0.4730,0.1962
0.4784,0.1966
0.4837,0.1971
0.4891,0.1976
0.4944,0.1982
0.4998,0.1989
0.5051,0.1995
0.5105,0.2003
0.5158,0.2011
0.5211,0.2019
0.5264,0.2028
0.5316,0.2038
0.5369,0.2048
0.5421,0.2058
0.5473,0.2069
0.5525,0.2081
0.5577,0.2093
0.5629,0.2105
0.5680,0.2118
0.5731,0.2132
0.5782,0.2146
0.5833,0.2161
0.5884,0.2176
0.5934,0.2191
0.5984,0.2207
0.6033,0.2224
0.6083,0.2240
0.6132,0.2258
0.6181,0.2276
0.6230,0.2294
0.6278,0.2313
0.6326,0.2332
0.6373,0.2352
0.6421,0.2372
0.6468,0.2393
0.6514,0.2414
0.6561,0.2436
0.6607,0.2458
0.6652,0.2480
0.6697,0.2503
0.6742,0.2527
0.6787,0.2550
0.6831,0.2575
0.6874,0.2599
0.6917,0.2624
0.6960,0.2650
0.7003,0.2676
0.7045,0.2702
0.7086,0.2729
0.7127,0.2756
0.7168,0.2784
0.7208,0.2811
0.7248,0.2840
0.7287,0.2868
0.7326,0.2898
0.7364,0.2927
0.7402,0.2957
0.7439,0.2987
0.7476,0.3017
0.7513,0.3048
0.7549,0.3080
0.7584,0.3111
0.7619,0.3143
0.7653,0.3175
0.7687,0.3208
0.7720,0.3241
0.7753,0.3274
0.7785,0.3308
0.7816,0.3341
0.7847,0.3376
0.7878,0.3410
0.7908,0.3445
0.7937,0.3480
0.7966,0.3515
0.7994,0.3551
0.8022,0.3587
0.8049,0.3623
0.8075,0.3659
0.8101,0.3696
0.8126,0.3733
0.8151,0.3770
0.8175,0.3807
0.8198,0.3845
0.8221,0.3883
0.8243,0.3921
0.8265,0.3959
0.8286,0.3997
0.8306,0.4036
0.8325,0.4075
0.8344,0.4114
0.8363,0.4153
0.8381,0.4193
0.8398,0.4232
0.8414,0.4272
0.8430,0.4312
0.8445,0.4352
0.8459,0.4392
0.8473,0.4432
0.8486,0.4473
0.8499,0.4513
0.8511,0.4554
0.8522,0.4595
0.8532,0.4636
0.8542,0.4677
0.8551,0.4718
0.8560,0.4759
0.8568,0.4800
0.8575,0.4842
0.8581,0.4883
0.8587,0.4924
0.8592,0.4966
0.8597,0.5008
0.8600,0.5049
0.8603,0.5091
0.8606,0.5132
0.8607,0.5174
0.8608,0.5216
0.8609,0.5258
