LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,fire_size_log,t_param,s_param
36.41833333,-114.72666667,0.1,Debris and open burning,Human,1994,149,1,0.09531017980432487,0.576389979374179,0.5595777149749549
35.9667,-114.5341,1.0,Debris and open burning,Human,1996,120,1,0.6931471805599453,0.3516726608191193,0.35330777948694836
35.9667,-114.5841,0.2,Debris and open burning,Human,1996,129,1,0.18232155679395465,0.43797596655004445,0.43409371484021236
35.9,-113.8758,0.1,Natural,Natural,1992,155,0,0.09531017980432487,0.06182554677808202,0.07301224408794653
35.96,-113.8641,600.0,Natural,Natural,1993,215,0,6.398594934535208,0.07251706099180107,0.09019646973329962
35.84,-113.8575,0.1,Natural,Natural,1993,217,0,0.09531017980432487,0.061827953302832986,0.07301228694017353
35.9869,-113.8727,10250.0,Natural,Natural,1994,182,0,9.235130540783402,0.07297939263846925,0.09084249241290014
35.9039,-113.7547,0.7,Natural,Natural,1994,211,0,0.5306282510621704,0.0618312963369241,0.0730123330290545
35.96,-113.7941,600.0,Natural,Natural,1995,179,0,6.398594934535208,0.061828323776990705,0.07301229277873449
35.975,-113.9008,953.0,Natural,Natural,1995,180,0,6.860663671448287,0.07433503471620527,0.09276986269956813
35.8583,-113.9008,2.0,Natural,Natural,1995,182,0,1.0986122886681098,0.06182616269683403,0.07301225622927279
35.9353,-113.87,4.0,Natural,Natural,1995,235,0,1.6094379124341003,0.06182298941184085,0.07301218346737333
35.968,-113.853,15.0,Natural,Natural,1995,235,0,2.772588722239781,0.061815907725711744,0.0730119187598091
35.9189,-113.853,0.3,Natural,Natural,1996,192,0,0.262364264467491,0.0618257745929594,0.07301224868131885
35.8025,-113.8855,0.3,Natural,Natural,1996,192,0,0.262364264467491,0.06182773876690638,0.07301228303782076
35.8186,-113.8519,0.3,Natural,Natural,1996,196,0,0.262364264467491,0.06182837223475466,0.07301229350405992
35.9353,-113.87,15.0,Natural,Natural,1996,227,0,2.772588722239781,0.06182298941184085,0.07301218346737333
35.835,-113.8519,0.1,Natural,Natural,1996,227,0,0.09531017980432487,0.061828182797404804,0.0730122904750227
35.8,-113.818,1.0,Natural,Natural,1996,228,0,0.6931471805599453,0.06182931283792126,0.07301230631846232
36.0169,-113.8194,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.06719448934896316,0.08027824371847431
35.9842,-113.8194,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.06180859253143346,0.07301149018758747
35.8514,-113.853,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.061827913718274514,0.07301228632228071
35.835,-113.8855,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.06182722312065286,0.07301227464092043
35.8678,-113.853,1.0,Natural,Natural,1996,245,0,0.6931471805599453,0.061827611628175363,0.07301228100935571
35.8283,-113.8575,0.3,Natural,Natural,1997,201,0,0.262364264467491,0.06182811354170306,0.07301228958461403
35.8267,-113.8058,0.3,Natural,Natural,1999,255,0,0.262364264467491,0.06182949119237595,0.0730123087698183
36.45,-113.8175,0.1,Natural,Natural,1992,125,0,0.09531017980432487,0.007178591768878638,0.00689152634728783
36.5666,-113.8508,0.1,Natural,Natural,1992,176,0,0.09531017980432487,0.0019519162197469105,0.004302627444654274
