LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,t_param,s_param,fire_size_log
39.08555556,-119.87416667,0.5,Natural,Natural,2005,203,0,0.6772285989659066,0.6337652679582844,0.4054651081081644
39.01972222,-119.8625,0.1,Natural,Natural,2005,209,0,0.7613503990015476,0.6989315680272087,0.09531017980432487
39.04583333,-119.86944444,0.1,Natural,Natural,2005,231,0,0.7205596149558761,0.6663456175597385,0.09531017980432487
39.00833333,-120.18333333,0.1,Recreation and ceremony,Human,2005,188,1,0.02148265150844558,0.026010616068728266,0.09531017980432487
38.94111111,-120.05166667,0.1,Recreation and ceremony,Human,2005,215,1,0.872745388290644,0.8677976876157497,0.09531017980432487
39.0,-119.87166667,0.3,Recreation and ceremony,Human,2005,259,1,0.7931557917404645,0.7211283606213102,0.262364264467491
39.31638889,-120.22583333,0.25,Recreation and ceremony,Human,2005,212,1,0.22879272254882677,0.22083747176984947,0.22314355131420976
39.23305556,-120.24972222,0.1,Natural,Natural,2005,228,0,0.21478649749199977,0.20376388448077817,0.09531017980432487
39.13305556,-120.24972222,0.1,Natural,Natural,2005,228,0,0.1643255701872371,0.15785084956699533,0.09531017980432487
39.33,-120.08972222,0.1,Recreation and ceremony,Human,2005,233,1,0.32029860864721393,0.3233809635891319,0.09531017980432487
38.935,-120.21111111,0.1,Natural,Natural,2005,229,0,0.9340844058311649,0.9387974694856471,0.09531017980432487
38.85166667,-120.11972222,0.1,Natural,Natural,2005,227,0,0.9265964077068135,0.9344371652144646,0.09531017980432487
38.85361111,-120.11166667,0.25,Natural,Natural,2005,233,0,0.9263448710220182,0.9343588238001416,0.22314355131420976
39.16722222,-120.23361111,0.1,Power generation/transmission/distribution,Human,2005,274,1,0.1659778330585758,0.15932767465273956,0.09531017980432487
39.14111111,-120.16972222,0.1,Other causes,Human,2005,264,1,0.1671661844665089,0.1602727454297029,0.09531017980432487
38.94,-120.04666667,0.1,Recreation and ceremony,Human,2005,182,1,0.8718747324201143,0.8635383802762004,0.09531017980432487
38.94,-120.04666667,0.1,Smoking,Human,2005,182,1,0.8718747324201143,0.8635383802762004,0.09531017980432487
38.94,-120.04666667,0.1,Misuse of fire by a minor,Human,2005,184,1,0.8718747324201143,0.8635383802762004,0.09531017980432487
39.01333333,-120.13833333,0.1,Natural,Natural,2005,229,0,0.02073938816769545,0.02545403099403083,0.09531017980432487
38.945,-120.09916667,0.1,Recreation and ceremony,Human,2005,250,1,0.9220970042931487,0.9301914551992266,0.09531017980432487
39.15111111,-119.93166667,0.1,Natural,Natural,2005,270,0,0.5599011276985149,0.5511156380696582,0.09531017980432487
39.23555556,-120.20222222,0.25,Natural,Natural,2006,180,0,0.2186388024674467,0.20663017358807,0.22314355131420976
39.23388889,-120.21277778,0.1,Recreation and ceremony,Human,2006,214,1,0.21701628566703568,0.204941265759068,0.09531017980432487
39.02611111,-119.86444444,9.0,Natural,Natural,2006,216,0,0.7612584819718481,0.6988900290660064,2.302585092994046
39.03166667,-120.21333333,0.1,Natural,Natural,2006,176,0,0.11397797834677229,0.11329193907348618,0.09531017980432487
39.2675,-120.185,0.25,Fireworks,Human,2006,244,1,0.22889292485667265,0.22088663894686666,0.22314355131420976
39.23916667,-120.05833333,0.1,Recreation and ceremony,Human,2006,127,1,0.3200033443716769,0.3228870789251249,0.09531017980432487
38.86972222,-119.9975,0.1,Natural,Natural,2006,137,0,0.8645187007317421,0.8317182261831024,0.09531017980432487
38.89888889,-119.97916667,0.1,Arson/incendiarism,Human,2006,140,1,0.862942721141651,0.8127753792363926,0.09531017980432487
39.04805556,-120.16555556,0.1,Recreation and ceremony,Human,2006,162,1,0.10878295835420909,0.10916911159918011,0.09531017980432487
38.89611111,-120.05555556,0.1,Debris and open burning,Human,2006,162,1,0.8787101707570066,0.8738059495816772,0.09531017980432487
38.94527778,-120.115,0.1,Recreation and ceremony,Human,2006,175,1,0.9284532176256632,0.9348879073225302,0.09531017980432487
39.17222222,-119.92333333,0.1,Equipment and vehicle use,Human,2006,193,1,0.5240461867719699,0.5219530941300434,0.09531017980432487
39.14166667,-119.92111111,0.1,Natural,Natural,2006,203,0,0.5633766940884227,0.5530236861964944,0.09531017980432487
