LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,fire_size_log,t_param,s_param,dist_to_lake_km,cluster_basin_opt,cluster_basin_std,cluster_basin_eq,cluster_near_std,cluster_near_eq,cluster_near_opt
38.86777778,-119.99222222,0.1,Arson/incendiarism,Human,2007,230,1,0.09531017980432487,0.864179850965157,0.82770892161319,8.099380217861807,3,0,3,,,
38.88277778,-120.12555556,0.1,Recreation and ceremony,Human,2007,248,1,0.09531017980432487,0.9268855887186036,0.9345118503892929,7.609638951215626,3,3,3,,,
39.09861111,-120.21166667,0.1,Recreation and ceremony,Human,2007,224,1,0.09531017980432487,0.12088499212194317,0.13080804037687088,4.143194791987446,2,2,2,2.0,2.0,2.0
38.95916667,-120.09694444,0.1,Recreation and ceremony,Human,2007,203,1,0.09531017980432487,0.9397988447721484,0.9484709955067442,0.01908751418242896,3,3,3,3.0,3.0,3.0
39.22805556,-120.00638889,0.2,Debris and open burning,Human,2007,286,1,0.18232155679395465,0.37627188414115065,0.383979498891934,0.42326340473297547,1,1,1,1.0,1.0,1.0
39.24277778,-120.01138889,0.1,Recreation and ceremony,Human,2007,245,1,0.09531017980432487,0.3504318957080007,0.35714287595141025,1.2021781768316986,1,1,1,1.0,1.0,1.0
38.87527778,-119.99388889,0.25,Misuse of fire by a minor,Human,2007,257,1,0.22314355131420976,0.8642058818038534,0.828022896427676,7.252311295313623,3,0,3,,,
39.24972222,-120.00583333,0.1,Recreation and ceremony,Human,2007,251,1,0.09531017980432487,0.4097712033305367,0.40371592733411965,0.9041014115018547,1,1,1,1.0,1.0,1.0
39.05416667,-120.13083333,0.1,Recreation and ceremony,Human,2007,224,1,0.09531017980432487,0.0940400452759803,0.0839077464803513,1.5114334254219346,2,2,2,2.0,2.0,2.0
39.18083333,-120.14972222,0.1,Recreation and ceremony,Human,2007,187,1,0.09531017980432487,0.21908031918311843,0.20709145031178233,1.4508599270678737,2,2,2,2.0,2.0,2.0
38.89305556,-120.11666667,0.1,Recreation and ceremony,Human,2007,256,1,0.09531017980432487,0.9267244336557346,0.934471875080904,6.333811585780061,3,3,3,,,
38.92388889,-120.03194444,0.1,Recreation and ceremony,Human,2007,311,1,0.09531017980432487,0.8674391929699515,0.8491478830713113,1.3674043148623864,3,3,3,3.0,3.0,3.0
38.87083333,-119.95472222,0.1,Natural,Natural,2007,302,0,0.09531017980432487,0.8610636753527475,0.7982857970739329,8.469287316321633,0,0,0,,,
39.25888889,-120.03555556,0.1,Recreation and ceremony,Human,2007,151,1,0.09531017980432487,0.34015210233837856,0.3395465870487408,2.316527642874771,1,1,1,1.0,1.0,1.0
39.21083333,-120.09722222,0.1,Other causes,Human,2007,229,1,0.09531017980432487,0.2760026546501636,0.2709993889923094,0.6179096514956101,1,2,1,2.0,2.0,2.0
38.93805556,-119.93861111,0.1,Other causes,Human,2007,250,1,0.09531017980432487,0.8525641175516109,0.7839230935759992,2.270772050395614,0,0,0,0.0,0.0,0.0
38.93666667,-120.02361111,0.1,Recreation and ceremony,Human,2008,116,1,0.09531017980432487,0.8658090111024607,0.8438018438248027,0.02447501659751449,3,3,3,3.0,3.0,3.0
