LATITUDE,LONGITUDE,Cluster_Std,Cluster_OA,Cause,Specific_Cause,Fire_Size_Acres,Fire_Year
36.5508,-114.4686,2,2,Natural,Lightning,0.5,2005
36.5711,-114.9322,2,2,Natural,Lightning,80.0,2005
36.3153,-114.1525,3,3,Natural,Lightning,0.1,2005
36.4856,-114.7967,2,2,Human-Caused,Arson/incendiarism,1.0,2005
36.4333,-114.9667,2,2,Natural,Lightning,931.0,2005
36.5192,-114.0511,3,3,Natural,Lightning,0.1,2005
36.2031,-114.9592,4,4,Human-Caused,Equipment and vehicle use,0.1,2006
36.3111,-114.2703,3,3,Natural,Lightning,15.0,2006
36.4289,-114.6097,2,2,Natural,Lightning,250.0,2006
36.3583,-114.9883,2,2,Natural,Lightning,15.0,2006
36.5619,-114.9911,2,2,Natural,Lightning,18.0,2006
36.5844,-114.13,3,3,Natural,Lightning,196.0,2006
36.5311,-114.0697,3,3,Natural,Lightning,245.0,2006
36.3258,-114.1122,3,3,Natural,Lightning,1370.0,2006
36.1064,-114.9942,4,4,Human-Caused,Recreation and ceremony,0.1,2007
36.2381,-115.0,4,4,Human-Caused,Fireworks,18.1,2007
36.55,-114.0792,3,3,Natural,Lightning,12.0,2007
36.4806,-114.4494,2,2,Human-Caused,Recreation and ceremony,0.1,2007
36.2022,-114.943,4,4,Human-Caused,Debris and open burning,0.1,2008
36.0489,-114.8817,4,4,Human-Caused,Equipment and vehicle use,0.1,2008
36.0044,-114.9142,4,4,Human-Caused,Recreation and ceremony,0.1,2009
36.0006,-114.9072,4,4,Human-Caused,Recreation and ceremony,0.1,2009
36.555,-114.8667,2,2,Natural,Lightning,0.1,2009
36.114989,-113.793283,1,1,Natural,Lightning,158.0,2005
36.097731,-113.713433,1,1,Natural,Lightning,4.0,2005
36.00887,-114.7972,4,4,Human-Caused,Recreation and ceremony,0.1,2000
36.06365,-114.71864,4,4,Human-Caused,Smoking,0.1,2000
36.43324,-114.37655,2,2,Natural,Lightning,0.1,2000
36.03352,-114.83567,4,4,Natural,Lightning,0.1,2000
36.02175,-114.82557,4,4,Natural,Lightning,0.1,2000
36.08665,-114.83277,4,4,Human-Caused,Smoking,0.1,2000
36.05832,-114.05663,1,1,Natural,Lightning,0.1,2000
36.0736,-114.06274,1,1,Natural,Lightning,0.1,2000
36.03548,-114.80402,4,4,Natural,Lightning,0.1,2000
36.04888,-114.04579,1,1,Natural,Lightning,0.1,2000
36.57108,-114.66666,2,2,Human-Caused,Debris and open burning,0.5,2001
35.97026,-114.68192,4,4,Human-Caused,Smoking,0.2,2001
36.01865,-114.77145,4,4,Human-Caused,Fireworks,0.1,2001
36.52734,-114.42714,2,2,Human-Caused,Debris and open burning,100.0,2001
35.99285,-114.78098,4,4,Human-Caused,Equipment and vehicle use,0.1,2001
36.02869,-114.70832,4,4,Human-Caused,Equipment and vehicle use,0.1,2002
35.93887,-114.76137,4,4,Human-Caused,Equipment and vehicle use,0.1,2002
36.0997,-114.96194,4,4,Human-Caused,Debris and open burning,88.0,2002
36.16942,-114.83499,4,4,Natural,Lightning,0.1,2002
36.27922,-114.02109,3,3,Natural,Lightning,0.1,2002
35.85221,-114.59275,4,4,Human-Caused,Equipment and vehicle use,0.1,2002
36.13045,-114.79242,4,4,Human-Caused,Smoking,0.1,2003
36.04999,-114.05079,1,1,Natural,Lightning,0.1,2003
36.07804,-114.05218,1,1,Natural,Lightning,0.5,2003
36.04,-114.7694,4,4,Human-Caused,Arson/incendiarism,0.1,2004
36.0172,-114.7508,4,4,Human-Caused,Misuse of fire by a minor,0.1,2004
36.1181,-114.0972,1,1,Human-Caused,Arson/incendiarism,0.2,2004
36.1333,-114.8342,4,4,Natural,Lightning,0.2,2004
36.0128,-114.7544,4,4,Natural,Lightning,0.1,2004
36.0808,-114.8203,4,4,Natural,Lightning,0.3,2004
36.503,-114.3991,2,2,Natural,Lightning,50.0,2004
36.0341,-114.803,4,4,Natural,Lightning,0.1,2004
36.0019,-114.7247,4,4,Natural,Lightning,0.1,2004
36.5183,-114.43,2,2,Natural,Lightning,0.1,2005
35.9903,-114.0839,1,1,Natural,Lightning,0.1,2005
35.9772,-114.0911,1,1,Natural,Lightning,0.1,2005
36.1494,-114.8119,4,4,Human-Caused,Recreation and ceremony,0.1,2005
35.9697,-114.4992,4,4,Natural,Lightning,0.5,2005
36.4722,-114.3592,2,2,Natural,Lightning,25.0,2005
36.1592,-114.8056,4,4,Human-Caused,Recreation and ceremony,0.8,2006
36.0342,-114.8014,4,4,Natural,Lightning,0.1,2006
36.1425,-114.73,4,4,Human-Caused,Misuse of fire by a minor,0.1,2006
36.0117,-114.7947,4,4,Human-Caused,Smoking,0.1,2007
36.0783,-114.8036,4,4,Human-Caused,Recreation and ceremony,0.1,2007
36.0328,-114.7792,4,4,Human-Caused,Recreation and ceremony,0.1,2007
36.0331,-114.7805,4,4,Human-Caused,Recreation and ceremony,0.1,2007
36.0236,-114.7733,4,4,Human-Caused,Recreation and ceremony,0.1,2007
36.0228,-114.773,4,4,Human-Caused,Recreation and ceremony,0.1,2007
36.0819,-114.8019,4,4,Human-Caused,Recreation and ceremony,0.1,2007
36.0814,-114.8153,4,4,Human-Caused,Recreation and ceremony,0.1,2007
35.93469,-114.63746,4,4,Human-Caused,Equipment and vehicle use,0.3,2007
36.3778,-114.44221,2,2,Human-Caused,Fireworks,3.3,2007
35.87719,-114.66571,4,4,Natural,Lightning,0.1,2007
