method,cluster_id,cluster_label,cluster_color,n_fires,mean_fire_size,median_fire_size,pct_human,pct_natural,cluster_span,cluster_span_km
std,0,1,#e74c3c,32,1.7500000000000002,0.1,65.625,34.375,0.4201867422249985,290.0
std,1,2,#3498db,40,10.997499999999999,0.15000000000000002,75.0,25.0,0.18637724539936362,129.0
std,2,3,#2ecc71,16,60.39375,0.1,25.0,75.0,0.15733434939954016,109.0
std,3,4,#f39c12,126,0.2563492063492063,0.1,75.39682539682539,24.6031746031746,0.20621155428289928,142.0
oa_opt,0,1,#e74c3c,34,23.94411764705882,0.1,47.05882352941176,52.94117647058824,0.23584671526933898,163.0
oa_opt,1,2,#3498db,40,10.997499999999999,0.15000000000000002,75.0,25.0,0.18637724539936362,129.0
oa_opt,2,3,#2ecc71,14,14.87142857142857,0.3,64.28571428571429,35.714285714285715,0.1572225928394756,109.0
oa_opt,3,4,#f39c12,126,0.2563492063492063,0.1,75.39682539682539,24.6031746031746,0.20621155428289928,142.0
