LATITUDE,LONGITUDE,Cluster_Std,Cluster_OA,Cause,Specific_Cause,Fire_Size_Acres,Fire_Year,Dist_To_Lake_Km
36.41227,-114.41631,2,2,Human-Caused,Smoking,0.1,1997,2.14
36.18108,-114.69692,4,4,Human-Caused,Equipment and vehicle use,0.1,1997,2.78
36.16804,-114.12579,1,3,Human-Caused,Recreation and ceremony,0.1,1998,2.32
36.3074,-114.42655,2,2,Human-Caused,Smoking,0.1,1998,0.36
36.1303,-114.83879,4,4,Human-Caused,Recreation and ceremony,0.1,1998,0.52
36.16668,-114.76843,4,4,Human-Caused,Equipment and vehicle use,0.1,1998,3.41
36.09548,-114.90559,4,4,Human-Caused,Equipment and vehicle use,0.1,1998,4.43
36.26696,-114.03419,1,3,Human-Caused,Smoking,0.1,1998,3.11
35.99168,-114.69681,4,4,Human-Caused,Smoking,0.1,1998,3.73
36.04249,-114.8085,4,4,Human-Caused,Recreation and ceremony,0.1,1998,0.66
36.03503,-114.80082,4,4,Human-Caused,Recreation and ceremony,0.1,1998,0.95
36.09435,-114.90186,4,4,Human-Caused,Equipment and vehicle use,0.1,1998,4.27
36.06465,-114.80244,4,4,Natural,Lightning,0.5,1998,0.35
36.11162,-114.87145,4,4,Human-Caused,Debris and open burning,0.1,1998,0.98
36.01668,-114.71809,4,4,Human-Caused,Smoking,0.1,1998,0.63
36.02088,-114.80402,4,4,Human-Caused,Misuse of fire by a minor,0.1,1998,2.45
36.48477,-114.34421,2,2,Human-Caused,Arson/incendiarism,2.0,1999,0.26
36.4601,-114.42854,2,2,Human-Caused,Arson/incendiarism,0.2,1999,3.4
36.04331,-114.81054,4,4,Human-Caused,Recreation and ceremony,1.0,1999,0.72
36.06468,-114.82182,4,4,Human-Caused,Smoking,0.1,1999,1.27
36.06468,-114.82182,4,4,Human-Caused,Smoking,0.1,1999,1.27
36.1746,-114.1247,1,3,Natural,Lightning,5.0,1999,2.55
36.02734,-114.78753,4,4,Human-Caused,Recreation and ceremony,0.2,1999,0.99
35.968,-113.8194,3,1,Human-Caused,Equipment and vehicle use,0.1,2001,4.65
36.0169,-113.8194,3,1,Natural,Lightning,0.1,2002,2.39
36.0055,-113.8025,3,1,Human-Caused,Smoking,0.1,2003,1.99
35.9819,-113.8002,3,1,Human-Caused,Equipment and vehicle use,0.1,2003,2.34
35.9661,-113.8033,3,1,Natural,Lightning,6.0,2007,3.83
36.4806,-114.4494,2,2,Human-Caused,Recreation and ceremony,0.1,2007,4.06
36.00887,-114.7972,4,4,Human-Caused,Recreation and ceremony,0.1,2000,2.52
36.06365,-114.71864,4,4,Human-Caused,Smoking,0.1,2000,0.82
36.43324,-114.37655,2,2,Natural,Lightning,0.1,2000,1.17
36.03352,-114.83567,4,4,Natural,Lightning,0.1,2000,3.03
36.02175,-114.82557,4,4,Natural,Lightning,0.1,2000,3.46
36.08665,-114.83277,4,4,Human-Caused,Smoking,0.1,2000,1.5
36.05832,-114.05663,1,1,Natural,Lightning,0.1,2000,4.45
36.0736,-114.06274,1,1,Natural,Lightning,0.1,2000,3.93
36.03548,-114.80402,4,4,Natural,Lightning,0.1,2000,1.07
36.01865,-114.77145,4,4,Human-Caused,Fireworks,0.1,2001,0.23
36.52734,-114.42714,2,2,Human-Caused,Debris and open burning,100.0,2001,1.51
35.99285,-114.78098,4,4,Human-Caused,Equipment and vehicle use,0.1,2001,3.23
36.02869,-114.70832,4,4,Human-Caused,Equipment and vehicle use,0.1,2002,0.69
36.16942,-114.83499,4,4,Natural,Lightning,0.1,2002,4.04
36.27922,-114.02109,1,3,Natural,Lightning,0.1,2002,3.28
36.13045,-114.79242,4,4,Human-Caused,Smoking,0.1,2003,0.72
36.07804,-114.05218,1,1,Natural,Lightning,0.5,2003,4.35
36.04,-114.7694,4,4,Human-Caused,Arson/incendiarism,0.1,2004,1.2
36.0172,-114.7508,4,4,Human-Caused,Misuse of fire by a minor,0.1,2004,0.68
36.1181,-114.0972,1,1,Human-Caused,Arson/incendiarism,0.2,2004,0.24
36.1333,-114.8342,4,4,Natural,Lightning,0.2,2004,0.19
36.0128,-114.7544,4,4,Natural,Lightning,0.1,2004,0.95
36.0808,-114.8203,4,4,Natural,Lightning,0.3,2004,0.64
36.503,-114.3991,2,2,Natural,Lightning,50.0,2004,0.68
36.0341,-114.803,4,4,Natural,Lightning,0.1,2004,1.15
36.0019,-114.7247,4,4,Natural,Lightning,0.1,2004,1.26
36.5183,-114.43,2,2,Natural,Lightning,0.1,2005,1.09
35.9903,-114.0839,3,1,Natural,Lightning,0.1,2005,4.27
35.9772,-114.0911,3,1,Natural,Lightning,0.1,2005,4.84
36.1494,-114.8119,4,4,Human-Caused,Recreation and ceremony,0.1,2005,2.24
36.4722,-114.3592,2,2,Natural,Lightning,25.0,2005,0.25
36.1592,-114.8056,4,4,Human-Caused,Recreation and ceremony,0.8,2006,3.47
36.0342,-114.8014,4,4,Natural,Lightning,0.1,2006,1.06
36.1425,-114.73,4,4,Human-Caused,Misuse of fire by a minor,0.1,2006,0.39
36.0117,-114.7947,4,4,Human-Caused,Smoking,0.1,2007,2.15
36.0783,-114.8036,4,4,Human-Caused,Recreation and ceremony,0.1,2007,0.14
36.0328,-114.7792,4,4,Human-Caused,Recreation and ceremony,0.1,2007,0.01
36.0331,-114.7805,4,4,Human-Caused,Recreation and ceremony,0.1,2007,0.07
36.0236,-114.7733,4,4,Human-Caused,Recreation and ceremony,0.1,2007,0.19
36.0228,-114.773,4,4,Human-Caused,Recreation and ceremony,0.1,2007,0.14
36.0819,-114.8019,4,4,Human-Caused,Recreation and ceremony,0.1,2007,0.1
36.0814,-114.8153,4,4,Human-Caused,Recreation and ceremony,0.1,2007,0.25
36.3778,-114.44221,2,2,Human-Caused,Fireworks,3.3,2007,3.03
36.0367,-114.7833,4,4,Human-Caused,Recreation and ceremony,0.1,2008,0.09
36.02983,-114.32424,1,1,Human-Caused,Power generation/transmission/distribution,0.1,2008,0.87
36.04786,-114.82016,4,4,Human-Caused,Debris and open burning,0.1,2008,1.02
36.1478,-113.975,1,3,Natural,Lightning,1.5,2008,0.48
36.1742,-114.7644,4,4,Human-Caused,Equipment and vehicle use,0.1,2008,4.05
36.00872,-114.76643,4,4,Human-Caused,Debris and open burning,0.1,2008,1.24
36.1553,-114.8083,4,4,Human-Caused,Recreation and ceremony,0.1,2009,2.97
36.30824,-114.43582,2,2,Human-Caused,Arson/incendiarism,0.1,2009,0.24
36.0372,-114.8044,4,4,Human-Caused,Arson/incendiarism,0.1,2009,0.93
36.0397,-114.8019,4,4,Natural,Lightning,0.1,2009,0.56
36.0244,-114.798,4,4,Human-Caused,Equipment and vehicle use,0.1,2010,1.82
36.4244,-114.4155,2,2,Human-Caused,Equipment and vehicle use,0.1,2010,2.95
36.1394,-114.7267,4,4,Human-Caused,Recreation and ceremony,0.1,2010,0.37
36.375,-114.3942,2,2,Human-Caused,Fireworks,0.1,2010,0.28
36.0083,-114.8069,4,4,Natural,Lightning,0.1,2010,3.28
36.0081,-114.8025,4,4,Natural,Lightning,0.1,2011,2.96
36.3008,-114.4339,2,2,Natural,Lightning,0.1,2011,0.59
36.0347,-114.3203,1,1,Human-Caused,Equipment and vehicle use,0.3,2011,0.26
36.1158,-114.8392,4,4,Human-Caused,Arson/incendiarism,0.3,2011,0.19
36.0356,-114.8008,4,4,Natural,Lightning,0.1,2011,0.9
36.1428,-114.6528,4,4,Natural,Lightning,0.1,2011,0.2
36.1192,-114.8667,4,4,Natural,Lightning,0.1,2011,0.05
35.9886,-113.8122,3,1,Human-Caused,Smoking,0.4,2012,3.02
36.0067,-114.7742,4,4,Human-Caused,Recreation and ceremony,0.1,2012,1.58
36.1367,-114.8653,4,4,Human-Caused,Equipment and vehicle use,0.1,2012,0.78
36.0356,-114.8014,4,4,Natural,Lightning,0.1,2012,0.93
35.9772,-114.0919,3,1,Natural,Lightning,0.5,2012,4.8
36.0544,-114.8197,4,4,Human-Caused,Equipment and vehicle use,0.1,2012,0.88
36.5478,-114.4511,2,2,Natural,Lightning,0.3,2012,4.63
36.0225,-114.8344,4,4,Natural,Lightning,0.3,2013,3.82
36.0069,-114.7533,4,4,Human-Caused,Recreation and ceremony,0.1,2013,1.6
36.0042,-114.7636,4,4,Human-Caused,Recreation and ceremony,0.1,2013,1.74
36.1225,-114.7972,4,4,Natural,Lightning,0.1,2014,0.08
36.1722,-114.7642,4,4,Human-Caused,Equipment and vehicle use,0.1,2014,3.83
